合约编码,交易代码,报价时间,期权类型,执行价,到期日,距离到期日天数,标的收盘价,prev_close,收盘价,日涨幅倍数
10007323,510500C2412M06500,2024-09-27,C,6.5,2024-12-25,89,5.493,0.0149,0.0737,4.946308724832215
10008436,510500P2501M05000,2024-12-31,P,5.0,2025-01-22,22,5.811,0.0008,0.0039,4.874999999999999
10007492,510500C2408M05250,2024-07-31,C,5.25,2024-08-28,28,4.975,0.0049,0.023,4.6938775510204085
10007807,510500C2410M05250,2024-09-27,C,5.25,2024-10-23,26,5.493,0.0757,0.3542,4.678996036988111
10007321,510500C2412M06000,2024-09-27,C,6.0,2024-12-25,89,5.493,0.0321,0.1498,4.666666666666667
10007259,510500C2412A06750,2024-10-18,C,6.644,2024-12-25,68,5.737,0.0273,0.1254,4.593406593406594
10007182,510500C2412A06000,2024-09-27,C,5.906,2024-12-25,89,5.493,0.0385,0.1768,4.592207792207793
10007259,510500C2412A06750,2024-09-30,C,6.644,2024-12-25,86,5.995,0.0603,0.272,4.510779436152571
10007840,510500P2410M04100,2024-09-30,P,4.1,2024-10-23,23,5.995,0.0013,0.0058,4.461538461538462
10007320,510500C2412M05750,2024-09-27,C,5.75,2024-12-25,89,5.493,0.0501,0.2227,4.445109780439122
10006319,510500P2401M05000,2024-01-08,P,5.0,2024-01-24,16,5.25,0.0073,0.0324,4.438356164383562
10006546,510500P2402M04700,2024-01-22,P,4.7,2024-02-28,37,4.87,0.042,0.1843,4.388095238095238
10007751,510500C2410M04800,2024-09-24,C,4.8,2024-10-23,29,4.779,0.0214,0.093,4.345794392523365
10007493,510500C2408M05500,2024-07-31,C,5.5,2024-08-28,28,4.975,0.0015,0.0065,4.333333333333333
10007753,510500C2410M05000,2024-09-26,C,5.0,2024-10-23,27,5.061,0.0392,0.1684,4.295918367346939
10007590,510500P2408M04300,2024-08-05,P,4.3,2024-08-28,23,4.77,0.0032,0.0137,4.28125
10008023,510500C2411M06250,2024-10-18,C,6.25,2024-11-27,40,5.737,0.0299,0.1277,4.270903010033445
10007905,510500C2411M05500,2024-09-27,C,5.5,2024-11-27,61,5.493,0.066,0.2814,4.263636363636363
10007323,510500C2412M06500,2024-09-30,C,6.5,2024-12-25,86,5.995,0.0737,0.3095,4.199457259158752
10006541,510500C2402M05250,2024-02-06,C,5.25,2024-02-28,22,4.913,0.0085,0.0352,4.141176470588236
10007323,510500C2412M06500,2024-10-18,C,6.5,2024-12-25,68,5.737,0.036,0.1471,4.086111111111111
10008437,510500P2501M05250,2024-12-31,P,5.25,2025-01-22,22,5.811,0.0027,0.011,4.0740740740740735
10007078,510500C2405M06000,2024-04-26,C,6.0,2024-05-22,26,5.461,0.0015,0.0061,4.066666666666666
10007491,510500C2408M05000,2024-07-31,C,5.0,2024-08-28,28,4.975,0.0215,0.0851,3.958139534883721
10006547,510500P2402M04800,2024-01-22,P,4.8,2024-02-28,37,4.87,0.0599,0.2346,3.9165275459098496
10007972,510500C2410M06000,2024-09-30,C,6.0,2024-10-23,23,5.995,0.0917,0.3587,3.9116684841875684
10007233,510500C2412A06500,2024-09-30,C,6.398,2024-12-25,86,5.995,0.086,0.33,3.837209302325582
10006540,510500C2402M05000,2024-02-06,C,5.0,2024-02-28,22,4.913,0.0261,0.1001,3.8352490421455934
10006539,510500C2402M04900,2024-02-06,C,4.9,2024-02-28,22,4.913,0.039,0.147,3.769230769230769
10007233,510500C2412A06500,2024-10-18,C,6.398,2024-12-25,68,5.737,0.0431,0.1613,3.74245939675174
10006961,510500P2404M04800,2024-04-16,P,4.8,2024-04-24,8,5.28,0.0007,0.0026,3.714285714285714
10007576,510500P2408M04400,2024-08-05,P,4.4,2024-08-28,23,4.77,0.0065,0.0236,3.6307692307692307
10007750,510500C2410M04700,2024-09-24,C,4.7,2024-10-23,29,4.779,0.0405,0.1445,3.5679012345679006
10007077,510500C2405M05750,2024-04-26,C,5.75,2024-05-22,26,5.461,0.0078,0.0277,3.551282051282051
10007079,510500C2405M06250,2024-04-29,C,6.25,2024-05-22,23,5.567,0.0017,0.006,3.5294117647058827
10007752,510500C2410M04900,2024-09-26,C,4.9,2024-10-23,27,5.061,0.065,0.2293,3.5276923076923077
10007694,510500C2503M06000,2024-09-27,C,6.0,2025-03-26,180,5.493,0.0697,0.2445,3.5078909612625537
10006538,510500C2402M04800,2024-02-06,C,4.8,2024-02-28,22,4.913,0.057,0.1995,3.5
10007494,510500C2408M05750,2024-07-31,C,5.75,2024-08-28,28,4.975,0.0006,0.0021,3.5
10007319,510500C2412M05500,2024-09-27,C,5.5,2024-12-25,89,5.493,0.0879,0.3074,3.497155858930603
10006548,510500P2402M04900,2024-01-22,P,4.9,2024-02-28,37,4.87,0.0858,0.2998,3.4941724941724943
10007181,510500C2412A05750,2024-09-27,C,5.659,2024-12-25,89,5.493,0.0633,0.221,3.4913112164297
10007233,510500C2412A06500,2024-09-26,C,6.398,2024-12-25,90,5.061,0.0045,0.0157,3.488888888888889
10006490,510500P2403M04700,2024-01-22,P,4.7,2024-03-27,65,4.87,0.0715,0.247,3.4545454545454546
10007971,510500C2410M05750,2024-09-30,C,5.75,2024-10-23,23,5.995,0.1395,0.48,3.440860215053763
10007322,510500C2412M06250,2024-09-30,C,6.25,2024-12-25,86,5.995,0.1119,0.385,3.440571939231457
10006541,510500C2402M05250,2024-02-07,C,5.25,2024-02-28,21,5.225,0.0352,0.1205,3.423295454545454
10006962,510500P2404M04900,2024-04-16,P,4.9,2024-04-24,8,5.28,0.0017,0.0058,3.411764705882353
10007756,510500P2410M04400,2024-09-30,P,4.4,2024-10-23,23,5.995,0.0015,0.0051,3.4000000000000004
10007079,510500C2405M06250,2024-04-26,C,6.25,2024-05-22,26,5.461,0.0005,0.0017,3.4
10008438,510500P2501M05500,2024-12-31,P,5.5,2025-01-22,22,5.811,0.0103,0.0349,3.3883495145631066
10007183,510500C2412A06250,2024-09-30,C,6.152,2024-12-25,86,5.995,0.1228,0.4154,3.3827361563517915
10006542,510500C2402M05500,2024-02-06,C,5.5,2024-02-28,22,4.913,0.0035,0.0118,3.3714285714285714
10006542,510500C2402M05500,2024-02-07,C,5.5,2024-02-28,21,5.225,0.0118,0.0397,3.364406779661017
10007904,510500C2411M05250,2024-09-27,C,5.25,2024-11-27,61,5.493,0.1227,0.4094,3.3365933170334148
10007180,510500C2412A05500,2024-09-27,C,5.413,2024-12-25,89,5.493,0.1056,0.3516,3.3295454545454546
10007693,510500C2503M05750,2024-09-27,C,5.75,2025-03-26,180,5.493,0.0955,0.3173,3.322513089005236
10007323,510500C2412M06500,2024-09-26,C,6.5,2024-12-25,90,5.061,0.0045,0.0149,3.3111111111111113
10006963,510500P2404M05000,2024-04-16,P,5.0,2024-04-24,8,5.28,0.0042,0.0139,3.3095238095238093
10007321,510500C2412M06000,2024-09-26,C,6.0,2024-12-25,90,5.061,0.0097,0.0321,3.3092783505154633
10007490,510500C2408M04900,2024-07-31,C,4.9,2024-08-28,28,4.975,0.0413,0.1366,3.307506053268765
10007550,510500P2408M04500,2024-08-05,P,4.5,2024-08-28,23,4.77,0.0119,0.039,3.277310924369748
10007322,510500C2412M06250,2024-09-26,C,6.25,2024-12-25,90,5.061,0.0063,0.0206,3.2698412698412698
10007183,510500C2412A06250,2024-09-26,C,6.152,2024-12-25,90,5.061,0.0075,0.0244,3.253333333333334
10006537,510500C2402M04700,2024-02-06,C,4.7,2024-02-28,22,4.913,0.0828,0.2691,3.25
10007753,510500C2410M05000,2024-09-27,C,5.0,2024-10-23,26,5.493,0.1684,0.546,3.24228028503563
10007182,510500C2412A06000,2024-09-26,C,5.906,2024-12-25,90,5.061,0.0119,0.0385,3.2352941176470584
10007322,510500C2412M06250,2024-10-18,C,6.25,2024-12-25,68,5.737,0.0574,0.1848,3.219512195121951
10006320,510500P2401M05250,2024-01-17,P,5.25,2024-01-24,7,5.141,0.0518,0.1659,3.2027027027027026
10005805,510500C2403M06000,2024-02-07,C,6.0,2024-03-27,49,5.225,0.0075,0.0239,3.186666666666667
10006771,510500C2409A05500,2024-07-31,C,5.413,2024-09-25,56,4.975,0.0071,0.0224,3.1549295774647885
10006772,510500C2409A05750,2024-07-31,C,5.659,2024-09-25,56,4.975,0.0026,0.0082,3.153846153846154
10007321,510500C2412M06000,2024-09-30,C,6.0,2024-12-25,86,5.995,0.1498,0.4724,3.1535380507343125
10007300,510500C2409M05250,2024-07-31,C,5.25,2024-09-25,56,4.975,0.0143,0.045,3.1468531468531467
10006150,510500P2403M04800,2024-01-22,P,4.8,2024-03-27,65,4.87,0.0969,0.3025,3.1217750257997934
10007976,510500C2411M06000,2024-09-30,C,6.0,2024-11-27,58,5.995,0.137,0.4235,3.0912408759124084
10007320,510500C2412M05750,2024-09-26,C,5.75,2024-12-25,90,5.061,0.0163,0.0501,3.0736196319018405
10007301,510500C2409M05500,2024-07-31,C,5.5,2024-09-25,56,4.975,0.0052,0.0159,3.057692307692308
10006543,510500C2402M05750,2024-02-06,C,5.75,2024-02-28,22,4.913,0.0018,0.0055,3.0555555555555554
10006546,510500P2402M04700,2024-01-08,P,4.7,2024-02-28,51,5.25,0.0075,0.0229,3.0533333333333337
10007976,510500C2411M06000,2024-10-18,C,6.0,2024-11-27,40,5.737,0.057,0.1738,3.049122807017544
10006964,510500P2404M05250,2024-04-16,P,5.25,2024-04-24,8,5.28,0.0236,0.0719,3.0466101694915255
10005807,510500C2403M06500,2024-02-07,C,6.5,2024-03-27,49,5.225,0.0029,0.0087,3.0
